uid,pid,tstamp,lmuser_id,crdate,cruser_id,deleted,hidden,area_id,category_id
1,754,1345708865,103,1345708865,103,0,0,1,2
2,754,1345708865,103,1345708865,103,0,0,1,3
3,754,1345708865,103,1345708865,103,0,0,1,5
4,754,1345708865,103,1345708865,103,0,0,1,11
5,754,1345708865,103,1345708865,103,0,0,1,14
6,754,1345708865,103,1345708865,103,0,0,1,15
7,754,1345708865,103,1345708865,103,0,0,1,17
8,754,1345708865,103,1345708865,103,0,0,1,20
9,754,1345708865,103,1345708865,103,0,0,1,21
10,754,1345708865,103,1345708865,103,0,0,1,22
11,754,1345708865,103,1345708865,103,0,0,1,25
12,754,1345708865,103,1345708865,103,0,0,1,26
13,754,1345708865,103,1345708865,103,0,0,1,27
14,754,1345708865,103,1345708865,103,0,0,1,28
15,754,1345708865,103,1345708865,103,0,0,1,29
16,754,1345708865,103,1345708865,103,0,0,1,30
17,754,1345708865,103,1345708865,103,0,0,1,31
18,754,1345708865,103,1345708865,103,0,0,1,32
19,754,1345708865,103,1345708865,103,0,0,1,33
20,754,1345708865,103,1345708865,103,0,0,1,34
21,754,1345708865,103,1345708865,103,0,0,1,35
22,754,1345708865,103,1345708865,103,0,0,1,36
23,754,1345708865,103,1345708865,103,0,0,1,37
24,754,1345708865,103,1345708865,103,0,0,1,38
25,754,1345708865,103,1345708865,103,0,0,1,39
26,754,1345708865,103,1345708865,103,0,0,1,40
27,754,1345708865,103,1345708865,103,0,0,1,41
28,754,1345708865,103,1345708865,103,0,0,1,42
29,754,1345708865,103,1345708865,103,0,0,1,43
30,754,1345708865,103,1345708865,103,0,0,1,44
31,754,1345708865,103,1345708865,103,0,0,1,45
32,754,1345708865,103,1345708865,103,0,0,1,47
33,754,1345708865,103,1345708865,103,0,0,1,48
34,754,1345708865,103,1345708865,103,0,0,1,49
35,754,1345708865,103,1345708865,103,0,0,1,50
36,754,1345708865,103,1345708865,103,0,0,1,51
37,754,1345708865,103,1345708865,103,0,0,1,52
38,754,1345708865,103,1345708865,103,0,0,1,53
39,754,1345708865,103,1345708865,103,0,0,1,54
40,754,1345708961,103,1345708961,103,0,0,2,2
41,754,1345708961,103,1345708961,103,0,0,2,3
42,754,1345708961,103,1345708961,103,0,0,2,4
43,754,1345708961,103,1345708961,103,0,0,2,5
44,754,1345708961,103,1345708961,103,0,0,2,6
45,754,1345708961,103,1345708961,103,0,0,2,7
46,754,1345708961,103,1345708961,103,0,0,2,8
47,754,1345708961,103,1345708961,103,0,0,2,9
48,754,1345708961,103,1345708961,103,0,0,2,10
49,754,1345708961,103,1345708961,103,0,0,2,11
50,754,1345708961,103,1345708961,103,0,0,2,12
51,754,1345708961,103,1345708961,103,0,0,2,13
52,754,1345708961,103,1345708961,103,0,0,2,14
53,754,1345708961,103,1345708961,103,0,0,2,15
54,754,1345708961,103,1345708961,103,0,0,2,16
55,754,1345708961,103,1345708961,103,0,0,2,17
56,754,1345708961,103,1345708961,103,0,0,2,18
57,754,1345708961,103,1345708961,103,0,0,2,19
58,754,1345708961,103,1345708961,103,0,0,2,20
59,754,1345708961,103,1345708961,103,0,0,2,21
60,754,1345708961,103,1345708961,103,0,0,2,22
61,754,1345708961,103,1345708961,103,0,0,2,23
62,754,1345708961,103,1345708961,103,0,0,2,24
63,754,1345708961,103,1345708961,103,0,0,2,26
64,754,1345708961,103,1345708961,103,0,0,2,32
65,754,1345708961,103,1345708961,103,0,0,2,40
66,754,1345708961,103,1345708961,103,0,0,2,41
67,754,1345708961,103,1345708961,103,0,0,2,42
68,754,1345708961,103,1345708961,103,0,0,2,50
69,754,1345708961,103,1345708961,103,0,0,2,55
70,754,1345708961,103,1345708961,103,0,0,2,56
71,754,1345708961,103,1345708961,103,0,0,2,57
72,754,1345708961,103,1345708961,103,0,0,2,58
73,754,1345709068,103,1345709068,103,0,0,3,2
74,754,1345709068,103,1345709068,103,0,0,3,3
75,754,1345709068,103,1345709068,103,0,0,3,5
76,754,1345709068,103,1345709068,103,0,0,3,11
77,754,1345709068,103,1345709068,103,0,0,3,14
78,754,1345709068,103,1345709068,103,0,0,3,15
79,754,1345709068,103,1345709068,103,0,0,3,17
80,754,1345709068,103,1345709068,103,0,0,3,20
81,754,1345709068,103,1345709068,103,0,0,3,21
82,754,1345709068,103,1345709068,103,0,0,3,22
83,754,1345709068,103,1345709068,103,0,0,3,25
84,754,1345709068,103,1345709068,103,0,0,3,26
85,754,1345709068,103,1345709068,103,0,0,3,27
86,754,1345709068,103,1345709068,103,0,0,3,28
87,754,1345709068,103,1345709068,103,0,0,3,29
88,754,1345709068,103,1345709068,103,0,0,3,30
89,754,1345709068,103,1345709068,103,0,0,3,31
90,754,1345709068,103,1345709068,103,0,0,3,32
91,754,1345709068,103,1345709068,103,0,0,3,33
92,754,1345709068,103,1345709068,103,0,0,3,34
93,754,1345709068,103,1345709068,103,0,0,3,35
94,754,1345709068,103,1345709068,103,0,0,3,36
95,754,1345709068,103,1345709068,103,0,0,3,38
96,754,1345709068,103,1345709068,103,0,0,3,39
97,754,1345709068,103,1345709068,103,0,0,3,40
98,754,1345709068,103,1345709068,103,0,0,3,41
99,754,1345709068,103,1345709068,103,0,0,3,42
100,754,1345709068,103,1345709068,103,0,0,3,43
101,754,1345709068,103,1345709068,103,0,0,3,44
102,754,1345709068,103,1345709068,103,0,0,3,45
103,754,1345709068,103,1345709068,103,0,0,3,46
104,754,1345709068,103,1345709068,103,0,0,3,47
105,754,1345709068,103,1345709068,103,0,0,3,48
106,754,1345709068,103,1345709068,103,0,0,3,49
107,754,1345709068,103,1345709068,103,0,0,3,50
108,754,1345709068,103,1345709068,103,0,0,3,51
109,754,1345709068,103,1345709068,103,0,0,3,52
110,754,1352904771,103,1352904771,103,0,0,4,9
111,754,1352904771,103,1352904771,103,0,0,4,13
112,754,1352904771,103,1352904771,103,0,0,4,19
113,754,1352904789,103,1352904789,103,0,0,4,3
